species,subset_size,week_number,expected_abundance
Bohemian Waxwing,48,32,3.669724770642202e-05
Bohemian Waxwing,48,38,0.009684088269454123
Bohemian Waxwing,48,39,0.043853670634920634
Bohemian Waxwing,48,40,0.1149403073286052
Bohemian Waxwing,48,41,0.2545656565656566
Bohemian Waxwing,48,46,0.13522084073416224
Bohemian Waxwing,48,47,0.0
Bohemian Waxwing,48,48,0.04644766780432309
Bohemian Waxwing,48,49,0.0
Bohemian Waxwing,48,50,0.3592698412698413
Bohemian Waxwing,48,51,2.7131782945736437e-05
Bohemian Waxwing,48,52,0.0
Bohemian Waxwing,50,1,0.11841282051282051
Bohemian Waxwing,50,2,0.0
Bohemian Waxwing,50,7,0.0
Bohemian Waxwing,50,8,1.348747591522158e-05
Bohemian Waxwing,50,9,0.0
Bohemian Waxwing,50,10,0.0
Bohemian Waxwing,50,12,0.0005262116716122651
Bohemian Waxwing,50,13,0.0012662814493800407
Bohemian Waxwing,50,14,0.02441841841841842
Bohemian Waxwing,50,15,0.0
Bohemian Waxwing,50,31,0.033836917562724014
Bohemian Waxwing,50,32,1.3761467889908258e-05
Bohemian Waxwing,50,38,0.009772357723577237
Bohemian Waxwing,50,39,0.044166170634920635
Bohemian Waxwing,50,40,0.11574487785658
Bohemian Waxwing,50,41,0.25706734006734006
Bohemian Waxwing,50,46,0.13641444641799882
Bohemian Waxwing,50,47,0.0
Bohemian Waxwing,50,48,0.04692491467576792
Bohemian Waxwing,50,49,0.0
Bohemian Waxwing,50,50,0.36025396825396827
Bohemian Waxwing,50,51,2.131782945736434e-05
Bohemian Waxwing,50,52,0.0
Bohemian Waxwing,52,1,0.11848205128205128
Bohemian Waxwing,52,2,0.0
Bohemian Waxwing,52,7,0.0
Bohemian Waxwing,52,8,2.5048169556840077e-05
Bohemian Waxwing,52,9,1.4598540145985402e-06
Bohemian Waxwing,52,10,3.3840947546531303e-06
Bohemian Waxwing,52,12,0.0005034619188921859
Bohemian Waxwing,52,13,0.0012414830865535092
Bohemian Waxwing,52,14,0.02426926926926927
Bohemian Waxwing,52,15,0.0
Bohemian Waxwing,52,31,0.0334647550776583
Bohemian Waxwing,52,32,1.3761467889908258e-05
Bohemian Waxwing,52,38,0.009484320557491288
Bohemian Waxwing,52,39,0.04333581349206349
Bohemian Waxwing,52,40,0.11460697399527187
Bohemian Waxwing,52,41,0.25512457912457914
Bohemian Waxwing,52,46,0.134907045589106
Bohemian Waxwing,52,47,0.0
Bohemian Waxwing,52,48,0.04663310580204778
Bohemian Waxwing,52,49,0.0
Bohemian Waxwing,52,50,0.35914285714285715
Bohemian Waxwing,52,51,1.550387596899225e-05
Bohemian Waxwing,52,52,0.0
Bohemian Waxwing,54,1,0.1193923076923077
Bohemian Waxwing,54,2,0.0
Bohemian Waxwing,54,7,0.0
Bohemian Waxwing,54,8,1.9267822736030827e-05
Bohemian Waxwing,54,9,4.8661800486618e-07
Bohemian Waxwing,54,10,1.6920473773265652e-06
Bohemian Waxwing,54,12,0.0004915924826904056
Bohemian Waxwing,54,13,0.001258336342843385
Bohemian Waxwing,54,14,0.024505505505505506
Bohemian Waxwing,54,15,0.0
Bohemian Waxwing,54,31,0.03369354838709677
Bohemian Waxwing,54,32,1.3761467889908258e-05
Bohemian Waxwing,54,38,0.009515679442508711
Bohemian Waxwing,54,39,0.0435141369047619
Bohemian Waxwing,54,40,0.11539775413711584
Bohemian Waxwing,54,41,0.2571111111111111
Bohemian Waxwing,54,46,0.13589757252812315
Bohemian Waxwing,54,47,0.0
Bohemian Waxwing,54,48,0.04718771331058021
Bohemian Waxwing,54,49,0.0
Bohemian Waxwing,54,50,0.3605079365079365
Bohemian Waxwing,54,51,1.1627906976744187e-05
Bohemian Waxwing,54,52,0.0
Bohemian Waxwing,56,1,0.1194102564102564
Bohemian Waxwing,56,2,0.0
Bohemian Waxwing,56,7,0.0
Bohemian Waxwing,56,8,5.780346820809249e-06
Bohemian Waxwing,56,9,0.0
Bohemian Waxwing,56,10,1.6920473773265652e-06
Bohemian Waxwing,56,12,0.000469831849653808
Bohemian Waxwing,56,13,0.0012393162393162392
Bohemian Waxwing,56,14,0.02447847847847848
Bohemian Waxwing,56,15,0.0
Bohemian Waxwing,56,31,0.03369354838709677
Bohemian Waxwing,56,32,3.0581039755351682e-06
Bohemian Waxwing,56,38,0.009411730545876887
Bohemian Waxwing,56,39,0.04326959325396825
Bohemian Waxwing,56,40,0.11514736012608352
Bohemian Waxwing,56,41,0.2569494949494949
Bohemian Waxwing,56,46,0.13576021314387213
Bohemian Waxwing,56,47,0.0
Bohemian Waxwing,56,48,0.04726564277588168
Bohemian Waxwing,56,49,0.0
Bohemian Waxwing,56,50,0.3611984126984127
Bohemian Waxwing,56,51,7.751937984496124e-06
Bohemian Waxwing,56,52,0.0
Bohemian Waxwing,58,1,0.11937435897435897
Bohemian Waxwing,58,2,0.0
Bohemian Waxwing,58,7,0.0
Bohemian Waxwing,58,8,7.70712909441233e-06
Bohemian Waxwing,58,9,0.0
Bohemian Waxwing,58,10,0.0
Bohemian Waxwing,58,12,0.0004965380811078141
Bohemian Waxwing,58,13,0.0012395570001203803
Bohemian Waxwing,58,14,0.02446646646646647
Bohemian Waxwing,58,15,0.0
Bohemian Waxwing,58,31,0.03360454002389486
Bohemian Waxwing,58,32,9.174311926605506e-06
Bohemian Waxwing,58,38,0.009484901277584204
Bohemian Waxwing,58,39,0.04344047619047619
Bohemian Waxwing,58,40,0.11536130811662726
Bohemian Waxwing,58,41,0.25713468013468016
Bohemian Waxwing,58,46,0.13594493783303732
Bohemian Waxwing,58,47,0.0
Bohemian Waxwing,58,48,0.047072810011376566
Bohemian Waxwing,58,49,0.0
Bohemian Waxwing,58,50,0.3608253968253968
Bohemian Waxwing,58,51,9.689922480620156e-06
Bohemian Waxwing,58,52,0.0
Bohemian Waxwing,60,1,0.11825128205128206
Bohemian Waxwing,60,2,0.0
Bohemian Waxwing,60,7,0.0
Bohemian Waxwing,60,8,7.70712909441233e-06
Bohemian Waxwing,60,9,0.0
Bohemian Waxwing,60,10,0.0
Bohemian Waxwing,60,12,0.00043620178041543024
Bohemian Waxwing,60,13,0.0012273985795112556
Bohemian Waxwing,60,14,0.02427127127127127
Bohemian Waxwing,60,15,0.0
Bohemian Waxwing,60,31,0.03289784946236559
Bohemian Waxwing,60,32,1.2232415902140673e-05
Bohemian Waxwing,60,38,0.009213124274099883
Bohemian Waxwing,60,39,0.04213070436507936
Bohemian Waxwing,60,40,0.11344996059889677
Bohemian Waxwing,60,41,0.2547070707070707
Bohemian Waxwing,60,46,0.13295026642984015
Bohemian Waxwing,60,47,0.0
Bohemian Waxwing,60,48,0.04615927189988624
Bohemian Waxwing,60,49,0.0
Bohemian Waxwing,60,50,0.3609206349206349
Bohemian Waxwing,60,51,7.751937984496124e-06
Bohemian Waxwing,60,52,0.0
Bohemian Waxwing,62,1,0.11884358974358974
Bohemian Waxwing,62,2,0.0
Bohemian Waxwing,62,7,0.0
Bohemian Waxwing,62,8,1.9267822736030827e-06
Bohemian Waxwing,62,9,0.0
Bohemian Waxwing,62,10,0.0
Bohemian Waxwing,62,12,0.00040059347181008897
Bohemian Waxwing,62,13,0.0012145178764897074
Bohemian Waxwing,62,14,0.02433233233233233
Bohemian Waxwing,62,15,0.0
Bohemian Waxwing,62,31,0.03305137395459976
Bohemian Waxwing,62,32,3.0581039755351682e-06
Bohemian Waxwing,62,38,0.009173635307781649
Bohemian Waxwing,62,39,0.042205853174603174
Bohemian Waxwing,62,40,0.11375118203309693
Bohemian Waxwing,62,41,0.2555387205387205
Bohemian Waxwing,62,46,0.13356009473060984
Bohemian Waxwing,62,47,0.0
Bohemian Waxwing,62,48,0.04653128555176337
Bohemian Waxwing,62,49,0.0
Bohemian Waxwing,62,50,0.36066666666666664
Bohemian Waxwing,62,51,1.937984496124031e-06
Bohemian Waxwing,62,52,0.0
Bohemian Waxwing,64,1,0.12037435897435898
Bohemian Waxwing,64,2,0.0
Bohemian Waxwing,64,7,0.0
Bohemian Waxwing,64,8,5.780346820809249e-06
Bohemian Waxwing,64,9,0.0
Bohemian Waxwing,64,10,0.0
Bohemian Waxwing,64,12,0.0003897131552917903
Bohemian Waxwing,64,13,0.001234139882027206
Bohemian Waxwing,64,14,0.024626626626626628
Bohemian Waxwing,64,15,0.0
Bohemian Waxwing,64,31,0.03357407407407407
Bohemian Waxwing,64,32,6.1162079510703365e-06
Bohemian Waxwing,64,38,0.009255516840882695
Bohemian Waxwing,64,39,0.042766617063492066
Bohemian Waxwing,64,40,0.11513100866824272
