species,subset_size,hour,expected_abundance
Black Woodpecker,46,9,0.0
Black Woodpecker,46,10,1.0815628538359803e-05
Black Woodpecker,46,11,0.0
Black Woodpecker,46,12,8.272640913098732e-07
Black Woodpecker,46,13,0.0
Black Woodpecker,46,14,6.432940931356292e-05
Black Woodpecker,46,15,1.9553038398778218e-07
Black Woodpecker,46,16,0.003168363461443033
Black Woodpecker,46,17,2.5364379019386036e-05
Black Woodpecker,46,18,0.0013154111479782879
Black Woodpecker,46,19,0.0002215327909433992
Black Woodpecker,46,20,0.00018150800521682557
Black Woodpecker,46,21,2.296449597064954e-06
Black Woodpecker,46,22,0.0
Black Woodpecker,46,23,0.0
Black Woodpecker,48,0,1.5873015873015876e-05
Black Woodpecker,48,1,1.2755102040816327e-06
Black Woodpecker,48,2,9.103641456582632e-05
Black Woodpecker,48,3,0.004161975308641976
Black Woodpecker,48,4,3.0476686637145092e-05
Black Woodpecker,48,5,4.1323237061359424e-07
Black Woodpecker,48,6,5.135590760402362e-07
Black Woodpecker,48,7,0.0002444642528686843
Black Woodpecker,48,8,1.4187080298874493e-07
Black Woodpecker,48,9,0.0
Black Woodpecker,48,10,1.0587707492148946e-05
Black Woodpecker,48,11,0.0
Black Woodpecker,48,12,9.125388541934012e-07
Black Woodpecker,48,13,0.0
Black Woodpecker,48,14,6.497552291944815e-05
Black Woodpecker,48,15,0.0
Black Woodpecker,48,16,0.0031514430410641285
Black Woodpecker,48,17,2.5826567831509592e-05
Black Woodpecker,48,18,0.00130856102003643
Black Woodpecker,48,19,0.0002250572456656853
Black Woodpecker,48,20,0.00018116949309609858
Black Woodpecker,48,21,1.3774104683195593e-06
Black Woodpecker,48,22,0.0
Black Woodpecker,48,23,0.0
Black Woodpecker,50,0,9.523809523809525e-06
Black Woodpecker,50,1,0.0
Black Woodpecker,50,2,5.392156862745098e-05
Black Woodpecker,50,3,0.003838518518518519
Black Woodpecker,50,4,2.1793869931405747e-05
Black Woodpecker,50,5,2.792110612254015e-07
Black Woodpecker,50,6,3.6842281542016943e-07
Black Woodpecker,50,7,0.00023464493399550068
Black Woodpecker,50,8,4.7290267662914975e-08
Black Woodpecker,50,9,0.0
Black Woodpecker,50,10,8.658591296545534e-06
Black Woodpecker,50,11,0.0
Black Woodpecker,50,12,7.414378190321384e-07
Black Woodpecker,50,13,0.0
Black Woodpecker,50,14,5.718736092567869e-05
Black Woodpecker,50,15,0.0
Black Woodpecker,50,16,0.003030752333882482
Black Woodpecker,50,17,2.3120367102012003e-05
Black Woodpecker,50,18,0.0012587978142076504
Black Woodpecker,50,19,0.00019815178279358847
Black Woodpecker,50,20,0.00015837271800574554
Black Woodpecker,50,21,0.0
Black Woodpecker,50,22,0.0
Black Woodpecker,50,23,0.0
Black Woodpecker,52,0,1.0317460317460317e-05
Black Woodpecker,52,1,2.5510204081632653e-06
Black Woodpecker,52,2,6.302521008403361e-05
Black Woodpecker,52,3,0.003591111111111111
Black Woodpecker,52,4,2.0491447425544847e-05
Black Woodpecker,52,5,3.350532734704818e-07
Black Woodpecker,52,6,3.6842281542016954e-07
Black Woodpecker,52,7,0.00022541986784951255
Black Woodpecker,52,8,1.2610738043443992e-07
Black Woodpecker,52,9,0.0
Black Woodpecker,52,10,7.065948855989233e-06
Black Woodpecker,52,11,0.0
